,instrumentID,tradedate
421,IH1701    ,2017-01-03
422,IH1701    ,2017-01-04
423,IH1701    ,2017-01-05
424,IH1701    ,2017-01-06
425,IH1701    ,2017-01-09
426,IH1701    ,2017-01-10
427,IH1701    ,2017-01-11
428,IH1701    ,2017-01-12
429,IH1701    ,2017-01-13
430,IH1701    ,2017-01-16
431,IH1701    ,2017-01-17
432,IH1701    ,2017-01-18
433,IH1701    ,2017-01-19
434,IH1702    ,2017-01-20
435,IH1702    ,2017-01-23
436,IH1702    ,2017-01-24
437,IH1702    ,2017-01-25
438,IH1702    ,2017-01-26
439,IH1702    ,2017-02-03
440,IH1702    ,2017-02-06
441,IH1702    ,2017-02-07
442,IH1702    ,2017-02-08
443,IH1702    ,2017-02-09
444,IH1702    ,2017-02-10
445,IH1702    ,2017-02-13
446,IH1702    ,2017-02-14
447,IH1702    ,2017-02-15
448,IH1702    ,2017-02-16
449,IH1703    ,2017-02-17
450,IH1703    ,2017-02-20
451,IH1703    ,2017-02-21
452,IH1703    ,2017-02-22
453,IH1703    ,2017-02-23
454,IH1703    ,2017-02-24
455,IH1703    ,2017-02-27
456,IH1703    ,2017-02-28
457,IH1703    ,2017-03-01
458,IH1703    ,2017-03-02
459,IH1703    ,2017-03-03
460,IH1703    ,2017-03-06
461,IH1703    ,2017-03-07
462,IH1703    ,2017-03-08
463,IH1703    ,2017-03-09
464,IH1703    ,2017-03-10
465,IH1703    ,2017-03-13
466,IH1703    ,2017-03-14
467,IH1703    ,2017-03-15
468,IH1703    ,2017-03-16
469,IH1704    ,2017-03-17
470,IH1704    ,2017-03-20
471,IH1704    ,2017-03-21
472,IH1704    ,2017-03-22
473,IH1704    ,2017-03-23
474,IH1704    ,2017-03-24
475,IH1704    ,2017-03-27
476,IH1704    ,2017-03-28
477,IH1704    ,2017-03-29
478,IH1704    ,2017-03-30
479,IH1704    ,2017-03-31
480,IH1704    ,2017-04-05
481,IH1704    ,2017-04-06
482,IH1704    ,2017-04-07
483,IH1704    ,2017-04-10
484,IH1704    ,2017-04-11
485,IH1704    ,2017-04-12
486,IH1704    ,2017-04-13
487,IH1704    ,2017-04-14
488,IH1704    ,2017-04-17
489,IH1704    ,2017-04-18
490,IH1704    ,2017-04-19
491,IH1704    ,2017-04-20
492,IH1705    ,2017-04-21
493,IH1705    ,2017-04-24
494,IH1705    ,2017-04-25
495,IH1705    ,2017-04-26
496,IH1705    ,2017-04-27
497,IH1705    ,2017-04-28
498,IH1705    ,2017-05-02
499,IH1705    ,2017-05-03
500,IH1705    ,2017-05-04
501,IH1705    ,2017-05-05
502,IH1705    ,2017-05-08
503,IH1705    ,2017-05-09
504,IH1705    ,2017-05-10
505,IH1705    ,2017-05-11
506,IH1705    ,2017-05-12
507,IH1705    ,2017-05-15
508,IH1705    ,2017-05-16
509,IH1705    ,2017-05-17
510,IH1705    ,2017-05-18
511,IH1706    ,2017-05-19
512,IH1706    ,2017-05-22
513,IH1706    ,2017-05-23
514,IH1706    ,2017-05-24
515,IH1706    ,2017-05-25
516,IH1706    ,2017-05-26
517,IH1706    ,2017-05-31
518,IH1706    ,2017-06-01
519,IH1706    ,2017-06-02
520,IH1706    ,2017-06-05
521,IH1706    ,2017-06-06
522,IH1706    ,2017-06-07
523,IH1706    ,2017-06-08
524,IH1706    ,2017-06-09
525,IH1706    ,2017-06-12
526,IH1706    ,2017-06-13
527,IH1706    ,2017-06-14
528,IH1706    ,2017-06-15
529,IH1707                        ,2017-06-16
530,IH1707                        ,2017-06-19
531,IH1707                        ,2017-06-20
532,IH1707                        ,2017-06-21
533,IH1707                        ,2017-06-22
534,IH1707                        ,2017-06-23
535,IH1707                        ,2017-06-26
536,IH1707                        ,2017-06-27
537,IH1707                        ,2017-06-28
538,IH1707                        ,2017-06-29
539,IH1707                        ,2017-06-30
540,IH1707                        ,2017-07-03
541,IH1707                        ,2017-07-04
542,IH1707                        ,2017-07-05
543,IH1707                        ,2017-07-06
544,IH1707                        ,2017-07-07
545,IH1707                        ,2017-07-10
546,IH1707                        ,2017-07-11
547,IH1707                        ,2017-07-12
548,IH1707                        ,2017-07-13
549,IH1707                        ,2017-07-14
550,IH1707                        ,2017-07-17
551,IH1707                        ,2017-07-18
552,IH1707                        ,2017-07-19
553,IH1707                        ,2017-07-20
554,IH1708                        ,2017-07-21
555,IH1708                        ,2017-07-24
556,IH1708                        ,2017-07-25
557,IH1708                        ,2017-07-26
558,IH1708                        ,2017-07-27
559,IH1708                        ,2017-07-28
560,IH1708                        ,2017-07-31
561,IH1708                        ,2017-08-01
562,IH1708                        ,2017-08-02
563,IH1708                        ,2017-08-03
564,IH1708                        ,2017-08-04
565,IH1708                        ,2017-08-07
566,IH1708                        ,2017-08-08
567,IH1708                        ,2017-08-09
568,IH1708                        ,2017-08-10
569,IH1708                        ,2017-08-11
570,IH1708                        ,2017-08-14
571,IH1708                        ,2017-08-15
572,IH1708                        ,2017-08-16
573,IH1708                        ,2017-08-17
574,IH1709    ,2017-08-18
575,IH1709    ,2017-08-21
576,IH1709    ,2017-08-22
577,IH1709    ,2017-08-23
578,IH1709    ,2017-08-24
579,IH1709    ,2017-08-25
580,IH1709    ,2017-08-28
581,IH1709    ,2017-08-29
582,IH1709    ,2017-08-30
583,IH1709    ,2017-08-31
584,IH1709    ,2017-09-01
585,IH1709    ,2017-09-04
586,IH1709    ,2017-09-05
587,IH1709    ,2017-09-06
588,IH1709    ,2017-09-07
589,IH1709    ,2017-09-08
590,IH1709    ,2017-09-11
591,IH1709    ,2017-09-12
592,IH1709    ,2017-09-13
593,IH1709    ,2017-09-14
594,IH1710                        ,2017-09-15
595,IH1710                        ,2017-09-18
596,IH1710                        ,2017-09-19
597,IH1710                        ,2017-09-20
598,IH1710                        ,2017-09-21
599,IH1710                        ,2017-09-22
600,IH1710                        ,2017-09-25
601,IH1710                        ,2017-09-26
602,IH1710                        ,2017-09-27
603,IH1710                        ,2017-09-28
604,IH1710                        ,2017-09-29
605,IH1710                        ,2017-10-09
606,IH1710                        ,2017-10-10
607,IH1710                        ,2017-10-11
608,IH1710                        ,2017-10-12
609,IH1710                        ,2017-10-13
610,IH1710                        ,2017-10-16
611,IH1710                        ,2017-10-17
612,IH1710                        ,2017-10-18
613,IH1710                        ,2017-10-19
614,IH1711                        ,2017-10-20
615,IH1711                        ,2017-10-23
616,IH1711                        ,2017-10-24
617,IH1711                        ,2017-10-25
618,IH1711                        ,2017-10-26
619,IH1711                        ,2017-10-27
620,IH1711                        ,2017-10-30
621,IH1711                        ,2017-10-31
622,IH1711                        ,2017-11-01
623,IH1711                        ,2017-11-02
624,IH1711                        ,2017-11-03
625,IH1711                        ,2017-11-06
626,IH1711                        ,2017-11-07
627,IH1711                        ,2017-11-08
628,IH1711                        ,2017-11-09
629,IH1711                        ,2017-11-10
630,IH1711                        ,2017-11-13
631,IH1711                        ,2017-11-14
632,IH1711                        ,2017-11-15
633,IH1711                        ,2017-11-16
634,IH1712                        ,2017-11-17
635,IH1712                        ,2017-11-20
636,IH1712                        ,2017-11-21
637,IH1712                        ,2017-11-22
638,IH1712                        ,2017-11-23
639,IH1712                        ,2017-11-24
640,IH1712                        ,2017-11-27
641,IH1712                        ,2017-11-28
642,IH1712                        ,2017-11-29
643,IH1712                        ,2017-11-30
644,IH1712                        ,2017-12-01
645,IH1712                        ,2017-12-04
646,IH1712                        ,2017-12-05
647,IH1712                        ,2017-12-06
648,IH1712                        ,2017-12-07
649,IH1712                        ,2017-12-08
650,IH1712                        ,2017-12-11
651,IH1712                        ,2017-12-12
