,open_IC,close_IC,high_IC,low_IC,preclose_IC,pre2close_IC,tradedate,ret_IC,preret_IC,open_IH,close_IH,high_IH,low_IH,preclose_IH,pre2close_IH,ret_IH,preret_IH,dpreret,signal,cum,ICmIH_i,ret,ICpre_last_vol,ICpre_last_ret,IHpre_last_vol,IHpre_last_ret,IClastmean,IClaststd,IHlastmean,IHlaststd,IClast_stdzd,IHlast_stdzd,dlast_stdzd,instrumentID_IC,instrumentID_IH,ICprice,IHprice,ICpreclose,IHpreclose,ICpre2close,IHpre2close,ICreturn,IHreturn,ICpreret,IHpreret,ICmIH_f,dret
546,6143.33,6128.74,6143.46,6107.91,6149.93,6132.99,2017-07-14,-0.0034455676731280915,0.0027621111399172005,2600.76,2622.98,2623.32,2593.43,2600.95,2565.14,0.008469982121916964,0.0139602516821693,-0.0111981405422521,1.0,0.741591003753216,-0.011915549795045057,0.011010163227594738,96001600.0,0.0004245952923607188,53456000.0,0.00023834515639120649,86470640.0,10361263.456761396,26352040.0,8163873.90894145,0.9198646516203033,3.3199875821593103,-2.4001229305390073,IC1707.CCFX,IH1707.CCFX,6093.4,2626.2,6108.2,2597.6,6085.4,2554.4,-0.002422972397760459,0.011010163227594738,0.0037466723633614585,0.01691199498903839,-0.013433135625355195,-0.013165322625676934
548,5854.07,5938.43,5938.43,5842.96,5876.46,6128.74,2017-07-18,0.010545464446282349,-0.04116343653018395,2619.23,2624.31,2637.53,2596.12,2631.41,2622.98,-0.002698173222720812,0.003213901745342973,-0.044377338275526916,1.0,0.7383211027179652,0.01324363766900316,-0.0044093051543258035,114785600.0,-8.337658139001558e-05,64909600.0,5.7006909237156116e-05,87174013.33333333,10354892.007420383,27181693.33333333,8636289.074833225,2.6665257973603227,4.368532171602331,-1.702006374242008,IC1707.CCFX,IH1707.CCFX,5899.0,2619.2,5825.6,2630.8,6093.4,2626.2,0.01259956056028555,-0.0044093051543258035,-0.04394919092788907,0.001751580229990335,0.017008865714611354,-0.045700771157879405
553,6159.41,6153.6,6170.65,6113.56,6167.13,6126.11,2017-07-25,-0.0021938892158912533,0.006695929390755362,2656.48,2643.07,2667.79,2639.61,2654.38,2639.21,-0.004260882013878975,0.0057479321463620465,0.0009479972443933172,-1.0,0.7439215857352025,0.002066992797987721,0.007585429966203483,99241600.0,0.0002530179691415668,76904400.0,-0.0007077620413664665,90940173.33333331,12158092.041189175,29992740.0,12176755.065643812,0.6827902469024844,3.852558398941539,-3.1697681520390546,IC1708.CCFX,IH1708.CCFX,6081.2,2642.8,6083.8,2663.0,6041.2,2640.2,-0.0004273644761498829,-0.007585429966203483,0.007051579156458931,0.008635709415953484,0.0071580654900536,-0.0015841302594945539
567,6165.13,6292.64,6293.35,6165.13,6161.19,6289.22,2017-08-14,0.02133516414848446,-0.020357055405916924,2572.3,2591.45,2598.38,2567.6,2570.26,2611.34,0.008244302132857984,-0.015731386950760932,-0.004625668455155996,1.0,0.7505373171318647,0.01309086201562648,0.008893049379826712,114960800.0,-0.0001493157376287746,99609600.0,0.0007475645747836435,105269720.0,14934050.68754652,30878966.66666667,14936664.157063736,0.6489250775130538,4.601471426993942,-3.9525463494808877,IC1708.CCFX,IH1708.CCFX,6286.4,2586.6,6139.2,2563.8,6251.0,2607.2,0.023977065415689225,0.008893049379826712,-0.017885138377859544,-0.016646210494016378,0.015084016035862513,-0.001238927883843166
611,6489.79,6571.42,6571.44,6485.81,6501.4,6563.44,2017-10-20,0.01076998800258422,-0.009452360347622537,2744.49,2737.64,2746.23,2733.72,2756.04,2753.01,-0.006676245627784794,0.0011006135103031056,-0.01055297385792564,1.0,0.7465604553948664,0.017446233630369012,-0.0052986862161573675,90459200.0,0.00015691390349470424,74856200.0,0.00021412110544560825,104053026.66666669,15182409.513620233,31942806.66666667,13082701.290027425,-0.8953668819479267,3.2801630475232972,-4.175529929471224,IC1711.CCFX,IH1711.CCFX,6530.0,2740.8,6460.0,2755.4,6505.0,2755.2,0.010835913312693402,-0.0052986862161573675,-0.006917755572636408,7.259001161452616e-05,0.016134599528850768,-0.006990345584250934
636,6250.06,6278.03,6307.89,6243.96,6274.51,6439.44,2017-11-24,0.0005609999824687242,-0.025612475618997814,2934.45,2936.83,2949.79,2907.1,2940.73,3012.36,-0.001326201317360054,-0.0237786984291386,-0.0018337771898592203,1.0,0.7464588963613478,0.0018872012998287786,-0.0001360359134812139,102412000.0,-0.0004747120266220816,134898400.0,0.0010825347653655726,82906453.33333333,10038237.807563763,41040626.66666666,16353587.00542751,1.9431245842740783,5.7392774626253775,-3.7961528783512994,IC1712.CCFX,IH1712.CCFX,6227.0,2940.0,6208.2,2940.4,6375.2,3019.4,0.003028252955768141,-0.0001360359134812139,-0.026195256619400142,-0.026164138570576975,0.0031642888692493547,-3.111804882316438e-05
675,6284.6,6272.38,6317.0,6261.24,6286.8,6267.46,2018-01-19,-0.002293694725456485,0.003085779566203817,3122.67,3117.82,3145.99,3100.41,3106.55,3076.18,0.0036278186412579405,0.009872634241169465,-0.006786854674965648,1.0,0.7482257194911693,-0.005921513366714426,0.002366939611054386,83978800.0,1.4319467315893066e-05,98308800.0,0.0008339048365868518,82639066.66666667,8912041.336859493,36754640.0,12530620.221146902,0.15032844695101424,4.912299544129514,-4.7619710971785,IC1802.CCFX,IH1802.CCFX,6232.0,3133.8,6259.8,3126.4,6223.4,3082.4,-0.004441036454838843,0.002366939611054386,0.00584889288813195,0.014274591227614762,-0.006807976065893229,-0.008425698339482812
678,6353.3,6394.3,6395.57,6322.92,6355.0,6347.64,2018-01-24,0.006184107002360273,0.0011594860452073252,3189.77,3180.33,3202.47,3150.55,3176.5,3130.33,0.0012057295765779408,0.01474924368996233,-0.013589757644755007,1.0,0.7465864143154454,0.004978377425782332,-0.0021909233176838905,83456400.0,2.203291402613772e-05,112016800.0,0.0010237929803649237,82675426.66666667,8795017.736899402,41190640.0,18716070.719177067,0.08879724370046045,3.784243021021999,-3.6954457773215386,IC1802.CCFX,IH1802.CCFX,6409.6,3188.0,6345.8,3195.0,6348.6,3145.6,0.010053893914084844,-0.0021909233176838905,-0.0004410421195224501,0.01570447609359116,0.012244817231768734,-0.016145518213113608
685,5937.62,6004.85,6006.47,5844.46,5984.74,6189.34,2018-02-02,0.003360212807908214,-0.03305683643167123,3113.3,3149.64,3150.7,3082.99,3141.23,3116.83,0.0026772951996509864,0.007828466743454054,-0.04088530317512529,1.0,0.7507227588384948,0.0006829176082572277,0.0055403426096924955,104892800.0,-2.673461715185788e-05,137656800.0,0.00039816144968995987,83473920.0,8485070.84474154,50554093.33333334,22415138.45933115,2.524301846374558,3.885887514132524,-1.361585667757966,IC1802.CCFX,IH1802.CCFX,5986.2,3158.0,5970.0,3140.6,6186.6,3125.0,0.0027135678391958518,0.0055403426096924955,-0.03501115313742609,0.004991999999999885,-0.002826774770496643,-0.040003153137425966
688,5805.97,5711.33,5831.81,5630.09,5704.26,5998.22,2018-02-07,0.0012394245704088205,-0.04900787233545957,3147.32,3029.6,3166.7,3020.39,3117.49,3181.34,-0.02819255234178775,-0.02007015911534149,-0.028937713220118063,-1.0,0.7728340786808119,0.02943197691219657,0.029453376205787807,119401600.0,0.0001525413921943386,193489600.0,-0.00024383748873046948,85746146.66666667,9673533.893790074,56616093.33333334,25954470.98098345,3.4791270390791156,5.273600327548666,-1.79447328846955,IC1802.CCFX,IH1802.CCFX,5663.0,3018.4,5686.8,3110.0,5979.8,3193.2,-0.0041851304775972755,-0.029453376205787807,-0.048998294257333035,-0.026055367656269483,0.02526824572819053,-0.02294292660106356
738,5865.44,5860.98,5886.0,5808.78,5847.98,5959.42,2018-04-27,0.002222989818706722,-0.01869980635699453,2672.64,2653.54,2675.1,2613.53,2666.02,2702.98,-0.004681135175280016,-0.013673797068420757,-0.005026009288573774,1.0,0.7691823463657372,0.0069041249939867395,-0.004725118127953176,82568800.0,4.787724274946114e-05,80407600.0,0.0013780414538899775,80464080.0,9353819.292320507,32268740.0,14177316.22607752,0.22501183037905992,3.395484676532374,-3.170472846153314,IC1805.CCFX,IH1805.CCFX,5852.2,2654.0,5806.4,2666.6,5913.0,2707.2,0.00788784789198127,-0.004725118127953176,-0.01802807373583637,-0.014997044917257618,0.012612966019934444,-0.0030310288185787515
761,5729.92,5685.12,5759.5,5654.84,5754.47,5682.59,2018-06-01,-0.012051500833265337,0.012649161737869452,2652.25,2647.19,2664.31,2637.37,2658.29,2605.9,-0.0041756166558201135,0.02010437852565317,-0.007455216787783714,1.0,0.7661545278940477,-0.007875884177445225,-0.003936411809235429,60434000.0,0.00031286011502817956,79018200.0,0.0017316017316018062,71381573.33333333,5860906.050170925,27786470.0,14125021.507292502,-1.8678977686417713,3.6270196100975816,-5.494917378739353,IC1806.CCFX,IH1806.CCFX,5664.0,2631.6,5738.0,2642.0,5653.2,2588.4,-0.012896479609620036,-0.003936411809235429,0.015000353781928766,0.020707773141709133,-0.008960067800384608,-0.005707419359780364
822,4964.73,4974.21,4983.94,4954.17,4960.07,4852.29,2018-08-28,0.002850766219025136,0.02221219259360008,2524.92,2511.15,2530.5,2503.81,2522.34,2472.0,-0.004436356716382428,0.020364077669903,0.001848114923697075,1.0,0.7628088749338117,0.007287122935407564,-0.004366812227074246,81267200.0,0.00030857225834579616,45388800.0,0.0013538246539013257,69524120.0,8726774.780560805,22237143.33333333,7384886.000925813,1.3456380272535646,3.135005288336779,-1.7893672610832143,IC1809.CCFX,IH1809.CCFX,4936.8,2508.0,4931.4,2519.0,4809.4,2474.6,0.001095023725514066,-0.004366812227074246,0.02536698964527795,0.017942293704032997,0.005461835952588312,0.007424695941244951
826,4808.38,4838.87,4840.15,4754.81,4814.82,4867.12,2018-09-03,0.004994994620775017,-0.010745574384851908,2461.86,2465.88,2470.51,2445.87,2474.48,2479.21,-0.003475477676117777,-0.0019078658120933454,-0.008837708572758562,1.0,0.7597218297094741,0.008470472296892795,-0.004046944556859611,69775600.0,-0.00011629404117652341,94684200.0,0.0031133452245823983,70577306.66666667,8807751.116114339,23740650.0,8279551.710117487,-0.09102285658366283,8.568525505228507,-8.65954836181217,IC1809.CCFX,IH1809.CCFX,4819.6,2461.0,4783.4,2471.0,4846.0,2483.2,0.007567838775766278,-0.004046944556859611,-0.0129178704085845,-0.004913015463917425,0.011614783332625887,-0.008004854944667072
841,4774.79,4792.55,4810.34,4763.21,4805.22,4733.48,2018-09-25,-0.002636715904786868,0.015155868409711504,2545.21,2547.79,2560.72,2536.43,2573.6,2487.42,-0.010028753497046905,0.03464634038481629,-0.019490471975104784,1.0,0.7486553614385615,0.007392037592260038,-0.014566473988439356,94117600.0,0.00016237064387047973,71842000.0,0.0009723464664930236,67276620.0,8585211.608157339,24141280.0,15166829.806144195,3.126420317292672,3.145068587812338,-0.018648270519666,IC1810.CCFX,IH1810.CCFX,4793.2,2557.2,4827.8,2595.0,4714.4,2496.8,-0.007166825469157922,-0.014566473988439356,0.024053962328186133,0.03933034283883363,0.007399648519281431,-0.015276380510647503
904,4168.94,4168.04,4192.7,4138.93,4161.27,4208.41,2018-12-28,0.0016269071701666693,-0.011201380093669444,2279.7,2293.1,2305.91,2278.25,2276.06,2281.56,0.007486621618059352,-0.0024106313224284692,-0.008790748771240975,-1.0,0.7489826281641423,-0.005859714447892682,0.00043713936002798265,89006000.0,-2.403106736270644e-06,69663400.0,-0.0028826271334945197,90949640.0,24093407.99205157,26522800.0,11127507.96905453,-0.08067102838424552,3.876932743609217,-3.9576037719934622,IC1901.CCFX,IH1901.CCFX,4120.4,2286.6,4131.0,2287.6,4189.0,2284.6,-0.0025659646574680557,-0.00043713936002798265,-0.013845786583910223,0.0013131401558259535,-0.0021288252974400734,-0.015158926739736178
926,4203.98,4176.47,4240.72,4151.41,4211.62,4254.29,2019-01-31,-0.00834595713763342,-0.010029875725444226,2454.64,2483.47,2487.1,2450.18,2440.01,2455.9,0.017811402412285068,-0.006470133148743784,-0.003559742576700442,-1.0,0.7372979363419294,-0.02615735954991849,-0.015600751449808213,75930400.0,-0.00010683583131332329,74600000.0,-0.0009908165228889043,79727670.0,14274552.089480253,24353910.0,13094585.055645864,-0.2660167531840406,3.837165499057634,-4.103182252241675,IC1902.CCFX,IH1902.CCFX,4183.6,2486.8,4201.8,2448.6,4242.4,2458.8,-0.004331476986053517,0.015600751449808213,-0.009570054686026673,-0.004148365056125036,-0.01993222843586173,-0.005421689629901638
